Dataset,Raw_Count,With_Primer
SRR10384085.fastq,1743074,1412834
SRR10384086.fastq,2145764,1577546
SRR10384087.fastq,2349219,1784898
SRR10384088.fastq,2262730,1642192
SRR10384089.fastq,4150501,2480464
SRR10384090.fastq,2563695,2395472
SRR10384091.fastq,195746,183261
SRR10384092.fastq,92089,85136
SRR10384093.fastq,554082,532775
SRR10384094.fastq,35958,32704
SRR10384095.fastq,11097,9807
SRR10384096.fastq,34828,33102
SRR10384097.fastq,55654,45669
SRR10384098.fastq,28848,27066
SRR10384099.fastq,20749,15043
SRR10384100.fastq,30609,28914
SRR10384101.fastq,31304,29450
SRR10384102.fastq,36021,34316
SRR10384103.fastq,35214,33548
SRR10384104.fastq,30283,24544
SRR10384105.fastq,31500,21260
SRR10384106.fastq,55712,50820
SRR10384107.fastq,18611,17711
SRR10384108.fastq,72249,68253
SRR10384109.fastq,20245,12667
SRR10384110.fastq,36426,33672
SRR10384126.fastq,120381,110959
SRR10384127.fastq,89431,31847
SRR10384128.fastq,26048,23600
SRR10384129.fastq,77129,69316
SRR10384130.fastq,179355,174656
SRR10384131.fastq,11673,10755
SRR10384132.fastq,272352,260100
SRR10384133.fastq,237876,230059
SRR10384134.fastq,14102,11716
SRR10384135.fastq,245353,154371
SRR10384136.fastq,55346,45649
SRR10384137.fastq,26555,23901
SRR10384138.fastq,21854,16991
SRR10384139.fastq,30266,27931
SRR10384140.fastq,113475,96471
